Stack_ID,Frequency_Range_Hz,Primary_Mode_Hz,Mode_Count,Mode_Types,Zone_A_Impact,Zone_B_Impact,Treatment_Priority
Modal Stack 01,20.0 - 35.0,20.5,5,"L-W Tangential, Length, Width",Medium,Medium,Critical
Modal Stack 02,35.0 - 50.0,40.2,8,"Length, Height, Width, L-H Tangential, W-H Tangential, L-W Tangential",Medium,High,Critical
Modal Stack 03,50.0 - 65.0,52.3,7,"Length, Height, L-H Tangential, W-H Tangential, L-W Tangential",High,Medium,Critical
Modal Stack 04,65.0 - 80.0,66.1,6,"L-W Tangential, Width, L-H Tangential",Medium,Medium,Critical
Modal Stack 05,80.0 - 95.0,80.3,11,"Length, Height, L-H Tangential, W-H Tangential, L-W Tangential",Medium,High,Critical
Modal Stack 06,95.0 - 110.0,96.2,4,"Length, Width",Medium,Medium,Critical
Modal Stack 07,110.0 - 125.0,112.5,6,"Width, Length, Height",High,High,High
Modal Stack 08,140.0 - 155.0,143.6,4,"Length, Width",Medium,Medium,High
Modal Stack 09,155.0 - 170.0,160.7,6,"Width, Length, Height",High,High,High
Modal Stack 10,170.0 - 185.0,184.6,2,Length,Medium,Medium,High
Modal Stack 11,185.0 - 200.0,192.4,2,Width,Medium,Medium,High
Modal Stack 12,200.0 - 215.0,200.8,3,"Length, Height",Medium,High,Medium
Modal Stack 13,215.0 - 230.0,216.5,5,"Height, Length, Width",High,Medium,Medium
Modal Stack 14,230.0 - 245.0,240.5,3,"Height, Width",Medium,High,Medium
Modal Stack 15,245.0 - 260.0,246.2,2,Length,Medium,Medium,Medium
Modal Stack 16,260.0 - 275.0,264.6,4,"Length, Width",Medium,Medium,Medium
Modal Stack 17,275.0 - 290.0,281.1,6,"Width, Length, Height",High,High,Medium
Modal Stack 18,290.0 - 305.0,296.8,4,"Length, Width",Medium,High,Medium
Modal Stack 19,305.0 - 320.0,315.2,5,"Height, L-H Tangential, W-H Tangential",High,Medium,Medium
Modal Stack 20,320.0 - 340.0,328.4,3,"Width, L-W Tangential",Medium,Medium,Medium
Modal Stack 21,340.0 - 360.0,350.8,4,"Length, Height, L-H Tangential",High,Medium,Medium  
Modal Stack 22,360.0 - 385.0,372.1,6,"Width, Length, L-H Tangential, W-H Tangential",High,High,Medium
Modal Stack 23,385.0 - 420.0,402.3,8,"Length, Width, Height, L-H Tangential, W-H Tangential, L-W Tangential",High,High,High
Modal Stack 24,420.0 - 500.0,460.5,12,"Width, Length, Height, L-H Tangential, W-H Tangential, L-W Tangential",High,High,High
