Stack_ID,Frequency_Range_Hz,Primary_Mode_Hz,Mode_Count,Mode_Types,Hexagonal_Impact,Treatment_Priority
Hub Modal Stack 01,20.0 - 35.0,33.0,1,Length,Medium,High
Hub Modal Stack 02,35.0 - 50.0,35.5,3,"Height, L-W Tangential, Width",High,Critical
Hub Modal Stack 03,50.0 - 65.0,55.8,2,"W-H Tangential, L-H Tangential",High,High
Hub Modal Stack 04,65.0 - 80.0,66.0,5,"L-W Tangential, Length, Width, L-H Tangential",High,Critical
Hub Modal Stack 05,80.0 - 95.0,84.1,2,"W-H Tangential, Height",High,High
Hub Modal Stack 06,95.0 - 110.0,95.9,7,"Length, Width, L-H Tangential, W-H Tangential, L-W Tangential",High,Critical
Hub Modal Stack 07,110.0 - 125.0,111.5,5,"W-H Tangential, L-W Tangential, L-H Tangential",High,High
Hub Modal Stack 08,125.0 - 140.0,125.3,5,"Height, L-W Tangential, Length, L-H Tangential",High,High
Hub Modal Stack 09,140.0 - 155.0,142.0,1,Width,Medium,Medium
Hub Modal Stack 10,155.0 - 170.0,164.9,1,Length,Medium,Medium
Hub Modal Stack 11,170.0 - 185.0,177.5,2,"Height, Width",High,High
Hub Modal Stack 12,185.0 - 200.0,197.9,1,Length,Medium,Medium
Hub Modal Stack 13,200.0 - 215.0,213.0,1,Width,Medium,Medium
Hub Modal Stack 14,215.0 - 230.0,225.1,1,Height,Medium,Medium
Hub Modal Stack 15,230.0 - 245.0,230.9,1,Length,Medium,Medium
Hub Modal Stack 16,245.0 - 260.0,248.6,1,Width,Medium,Medium
Hub Modal Stack 17,260.0 - 275.0,263.8,2,"Length, Height",High,Medium
Hub Modal Stack 18,275.0 - 290.0,284.1,1,Width,Medium,Medium
Hub Modal Stack 19,290.0 - 305.0,296.8,1,Length,Medium,Medium
Hub Modal Stack 20,305.0 - 320.0,315.0,3,"Height, L-H Tangential, W-H Tangential",High,High
Hub Modal Stack 21,320.0 - 340.0,330.5,2,"Length, L-W Tangential",Medium,Medium
Hub Modal Stack 22,340.0 - 365.0,355.1,4,"Width, L-H Tangential, W-H Tangential, Height",High,High
Hub Modal Stack 23,365.0 - 420.0,390.8,6,"Length, Width, L-W Tangential, L-H Tangential, W-H Tangential, Height",High,Critical
Hub Modal Stack 24,420.0 - 500.0,460.2,8,"Width, Length, Height, L-H Tangential, W-H Tangential, L-W Tangential, Hexagonal",High,Critical
